,total_return,max_drawdown,trade_count,sharpe_ratio
count,3025.0,3025.0,3025.0,3025.0
mean,0.8230696312267725,0.16513625619695346,4.977685950413223,0.3791229236190637
std,1.8033208087084696,0.17949687238144216,6.285119420097379,0.5172091556843933
min,-0.6260855748427928,0.0,0.0,-6.759937840818343
25%,0.0,0.0,0.0,0.0
50%,0.0148889596599237,0.1109510086455331,1.0,0.1510979125557672
75%,1.1623600304746775,0.3192747034042221,9.5,0.7611672755482877
max,62.91774883912343,0.7981417652575329,35.0,7.09929573971954
