code,name,status,total_return,trade_count,max_drawdown,sharpe_ratio,win_rate,error_msg
000026,飞亚达,成功,0.8170154201857099,22.31940221786499,0.39615314354842107,0.4048304135838234,,
000017,深中华A,成功,-0.5127217137138614,34.25923023223877,0.7573047181606796,-0.24434163202068385,,
000016,*ST康佳A,成功,-0.4812262318536051,26.517194747924805,0.5771393535483845,-0.3493075971152999,,
000011,深物业A,成功,-0.14471892975691153,28.699218332767487,0.5571312967190343,-0.07096924738381087,,
000028,国药一致,成功,0.6518050466485071,11.0,0.31390188816729325,0.4238903649256072,,
000008,神州高铁,成功,-0.6493518926333655,23.0,0.6844746259557875,-0.5711350793145438,,
000019,深粮控股,成功,-0.47326398958691285,18.0,0.5258596320883961,-0.4084713723825083,,
000007,全新好,成功,0.24215615863345824,25.0,0.36794711248846546,0.18384442082797814,,
000029,深深房Ａ,成功,-0.14358827189525153,31.0,0.6031456600293819,0.023007457682564528,,
000021,深科技,成功,0.20290974443989995,43.0,0.6162923464981908,0.19248029918186166,,
000009,中国宝安,成功,-0.502556458302597,34.95,0.7835232079058634,-0.35409905433160677,,
000002,万  科Ａ,成功,-0.5097228112001997,8.0,0.5272200685328995,-1.0477804401842659,,
000020,深华发Ａ,成功,2.7271246442539563,33.0,0.48841434064145545,0.7444607253475573,,
000006,深振业Ａ,成功,-0.37082865202440063,30.95,0.6934846919011941,-0.17846731559008466,,
000014,沙河股份,成功,0.15989204459594591,38.11672866344452,0.6681617179117283,0.17087007345560656,,
000001,平安银行,成功,-0.1514811040763864,10.0,0.4932143834451843,-0.1587359845844965,,
000025,特  力Ａ,成功,-0.39377165159072547,27.35738608837128,0.6552095918334019,-0.25551136521160417,,
000027,深圳能源,成功,0.09274600467466662,15.201232671737671,0.6202748187400531,0.08431630015317716,,
000012,南  玻Ａ,成功,-0.5107341692246408,25.0,0.7319152889048306,-0.4076599040410751,,
000010,*ST美丽,成功,-0.6283341717972005,37.79420939683914,0.6827272811896571,-0.4840272118599153,,
000030,富奥股份,成功,-0.02043985768398852,21.0,0.4736063158727657,0.019734830862420845,,
000031,大悦城,成功,-0.3141986345347996,18.1,0.5658416595313948,-0.2746275678107855,,
000032,深桑达Ａ,成功,-0.02382823534181385,31.541359138488772,0.43197420947063125,0.0898372032674579,,
000034,神州数码,成功,-0.4413339514779801,40.2791805267334,0.5320068411342008,-0.14657058577696522,,
000035,中国天楹,成功,-0.2737009281665605,22.0,0.4967330328148014,-0.11481640886406758,,
000037,深南电A,成功,0.488591198901663,35.5213006734848,0.4488927305035259,0.2923988356333173,,
000036,华联控股,成功,-0.5661753032997802,34.56100471019745,0.7739273742277497,-0.48011189893130674,,
000039,中集集团,成功,2.6225281831264287,28.0,0.3529611882758916,0.8387341563895566,,
