code,name,total_return,trade_count,max_drawdown,sharpe_ratio
421,南京公用,18.116446925625763,17.5,0.2115068223240231,1.8165396503549955
300542,新晨科技,12.40445887136427,14.5,0.2918285238623749,1.3471092144972994
300484,蓝海华腾,12.253791638615322,16.5,0.3685098998967165,1.3274762275594467
2920,德赛西威,12.02700740961704,15.0,0.2777786076870677,1.5749506791960914
3025,思进智能,10.251508274222251,11.5,0.1659702688345277,1.860649255028054
300141,和顺电气,10.121269331989282,15.5,0.2901953736163655,1.3228389638566809
701,厦门信达,9.987925139948834,14.0,0.3262064896755166,1.5542563556931834
2857,三晖电气,9.444257681976202,17.5,0.2796499937162245,1.3995630599202826
670,盈方微,8.674705284271923,4.5,0.2722072844550771,0.5809070226126685
2189,中光学,8.442994922183546,13.0,0.216247348169108,1.5327071192607784
2559,亚威股份,8.146177562206022,20.5,0.3809897029810004,1.2853332629651557
300490,华自科技,7.938907155615038,12.0,0.3053763440860218,1.314486017805724
300589,江龙船艇,7.761413513422021,11.5,0.2464013547840813,1.255435787628902
2173,创新医疗,7.6033100804072,13.0,0.3382513949682443,1.2432327958254694
2297,博云新材,7.486371579959496,25.5,0.2669507837485685,1.3335836266355188
300727,润禾材料,7.44182166773427,13.5,0.1840444573784024,1.308580834649598
2719,ST麦趣,7.357101878697548,21.5,0.3047636135053661,1.2681011264630468
300780,德恩精工,7.344925461137884,8.0,0.1851851851851847,1.3951191385115187
300371,汇中股份,7.19115414420698,17.5,0.3567967701755817,1.2412706841315515
2383,合众思壮,6.59195100211342,19.5,0.3688837018633185,1.0847359250158557
300620,光库科技,6.477409406397023,16.5,0.3902511669690626,1.119945958438498
300473,德尔股份,6.4647453386885285,9.0,0.3204022758758036,1.3412515944440346
2861,瀛通通讯,6.3841333864456296,23.0,0.3925956918652977,1.061131293461839
300541,先进数通,6.3359301954142815,11.0,0.2774166666666663,1.2474753080596648
300707,威唐工业,6.254231947078035,19.5,0.3792963648129328,1.17470262360018
300522,世名科技,6.214631971515717,10.5,0.3439146595504241,1.4083070561869482
802,北京文化,6.126876879446153,18.5,0.3297359341152968,1.2652544100867882
2873,新天药业,6.041533451830119,18.0,0.2837169768583207,1.247392166160711
300452,山河药辅,6.025837695713915,9.5,0.1784474702976899,1.2234944519416109
300842,帝科股份,6.013219910288328,17.0,0.3593538299352322,1.1515848775699231
300697,电工合金,5.819357128009426,20.5,0.3590094437338924,1.034506715651272
300556,丝路视觉,5.696508125837628,12.5,0.2615317021651119,1.1705681634284617
2957,科瑞技术,5.573943384040479,17.0,0.2993746604556541,1.2282045466029456
2828,贝肯能源,5.49371821810221,12.0,0.3038295654144396,1.230642811840441
300503,昊志机电,5.388393241575671,13.0,0.2739834941698108,1.1390371674076143
300402,宝色股份,5.374914896294232,18.0,0.2512059360303517,1.0383356907743415
2357,富临运业,5.355305230172871,11.5,0.2869034198993897,1.287323331740045
300022,吉峰科技,5.31936329826334,12.5,0.2915639988714378,1.164042834274716
300062,中能电气,5.210809902531463,13.5,0.3916596738204095,1.0744877231545944
300943,春晖智控,5.121652937027426,20.0,0.2816329778768111,1.220476874901273
2272,川润股份,5.032556495172013,12.5,0.277264325323475,1.1939257889663684
301015,百洋医药,5.021393107976071,12.5,0.2508079418963489,1.4302457978078131
2432,九安医疗,4.99857512665358,9.5,0.375974146554771,1.1318543303984347
300389,艾比森,4.942206628476508,13.0,0.3132496437660759,1.0436419825612278
2847,盐津铺子,4.929201775529043,9.5,0.2582321963358144,1.163636619503666
300039,上海凯宝,4.909131742311559,10.5,0.2932040184660584,1.2212614643288733
2789,*ST建艺,4.887449052822118,22.5,0.3781291498267899,0.9819587171425304
2119,康强电子,4.844681517338042,16.0,0.2968073184923391,1.1617814157728703
301200,大族数控,4.826382221003044,17.0,0.3175095855395292,1.2472786124309143
300400,劲拓股份,4.823190763222162,14.0,0.316892133554943,1.0922025923307306
300322,硕贝德,4.816443892959966,13.0,0.2666513414614754,1.0749533303856824
300778,新城市,4.768059137587843,14.5,0.371420552346701,1.0036807686586176
301041,金百泽,4.720389056617061,10.0,0.2879543834640057,1.315093240056985
19,深粮控股,4.712353619335231,11.0,0.1679626749611188,1.358910049819423
300730,科创信息,4.709400544337275,5.0,0.2413108242303874,1.3066698933465908
300004,南风股份,4.699479995844692,13.0,0.3832178129462163,1.0828332292841556
301368,丰立智能,4.674914085617094,9.5,0.232066915787982,1.497769829272658
300164,通源石油,4.666117715882783,11.0,0.1995567261493622,1.2694805033403125
301321,翰博高新,4.608516896400605,18.0,0.394291547705872,1.536735572983971
856,冀东装备,4.598465151956651,7.0,0.2896667668704143,1.2673824145517438
300512,中亚股份,4.596881344693588,12.5,0.3170029782324106,1.040934657700469
2931,锋龙股份,4.577743218530267,11.0,0.2838261869279228,1.2887315966571264
2232,启明信息,4.5773473799576125,9.5,0.2836236933797908,1.1322196405440967
1309,德明利,4.558274985386872,20.5,0.3411395997393769,1.2588656186437928
2884,凌霄泵业,4.532397905932863,12.0,0.2871323096975191,1.234043446257742
1216,华瓷股份,4.500156024468766,17.0,0.2402844805689608,1.6737265266496375
300162,雷曼光电,4.493836469137687,13.0,0.2737382861013887,1.0418743491392768
300900,广联航空,4.488088470387208,12.0,0.2817027792665182,1.3396508125249489
